Member_ID,Age,Weight_kg,Height_cm,Workout_Hours_Week,Calories_Burned_Avg,Fat_Percentage
101,25,70,175,5,500,18
102,30,80,180,3,350,22
103,22,65,165,6,600,15
104,35,85,178,2,250,25
105,40,90,182,4,450,24
106,28,75,170,5,520,19
107,45,95,185,2,280,28
108,24,68,168,7,700,14
109,33,78,176,3,380,21
110,50,88,179,1,150,30
111,29,72,172,6,620,17
112,31,82,181,4,480,20
113,26,69,174,5,510,18
114,42,92,183,2,290,26
115,38,84,177,3,390,23
116,27,74,173,5,530,18
117,48,96,184,1,180,29
118,23,66,167,8,750,12
119,36,86,180,3,370,22
120,55,89,178,2,260,28
