metal,condition,rung,MAE,vs_static_%,p_vs_static
zinc,neither,static (no routing),0.011388843337387617,0.0,
zinc,neither,oracle regime + oracle wts,0.011156987857368975,-2.0358123573225417,0.006222111957930432
zinc,neither,predicted regime (hard) + oracle wts,0.011668555602687253,2.456019957543787,0.00026743711918619795
zinc,neither,predicted regime (soft) + oracle wts,0.011606731939632884,1.913175866858885,0.00133039446250649
zinc,neither,learned gate (error imitation),0.012484057750826639,9.61655526372569,5.325376436715601e-06
zinc,neither,clustered router (k=3),0.012939599391340999,13.616449081027525,5.820990356397715e-10
zinc,routing,static (no routing),0.011388843337387617,0.0,
zinc,routing,oracle regime + oracle wts,0.011156987857368975,-2.0358123573225417,0.006222111957930432
zinc,routing,predicted regime (hard) + oracle wts,0.011371045435042046,-0.15627488954162994,0.8240159057629648
zinc,routing,predicted regime (soft) + oracle wts,0.011359125502238294,-0.2609381327756455,0.6926268135480176
zinc,routing,learned gate (error imitation),0.011924919250471556,4.707026843754125,0.00031803488604920105
zinc,routing,clustered router (k=3),0.012808046417769803,12.461345180885797,3.9534300277921375e-09
zinc,representation,static (no routing),0.011292269830456763,0.0,
zinc,representation,oracle regime + oracle wts,0.01111580715199573,-1.5626856346019014,0.018450390382813486
zinc,representation,predicted regime (hard) + oracle wts,0.011447177701356174,1.3718045461648787,0.01275117149158378
zinc,representation,predicted regime (soft) + oracle wts,0.011404828784748274,0.9967788228715913,0.035298795630879454
zinc,representation,learned gate (error imitation),0.011739511398634331,3.960599373664442,0.0003352620548269236
zinc,representation,clustered router (k=3),0.012081206201884749,6.986517177442209,4.769651216118831e-05
zinc,both,static (no routing),0.011292269830456763,0.0,
zinc,both,oracle regime + oracle wts,0.01111580715199573,-1.5626856346019014,0.018450390382813486
zinc,both,predicted regime (hard) + oracle wts,0.011286053377058342,-0.055050521212784975,0.9206373895229876
zinc,both,predicted regime (soft) + oracle wts,0.011272935778925805,-0.1712149268591756,0.7374428612876525
zinc,both,learned gate (error imitation),0.011828262126673655,4.7465416985631,0.0008136139613665883
zinc,both,clustered router (k=3),0.01221310632623254,8.154573966096335,8.057723080545642e-06
aluminium,neither,static (no routing),0.010398542313214043,0.0,
aluminium,neither,oracle regime + oracle wts,0.010037060586525055,-3.4762730755986126,0.0012416094381557663
aluminium,neither,predicted regime (hard) + oracle wts,0.010630311162245946,2.228859027071328,0.042807446718986286
aluminium,neither,predicted regime (soft) + oracle wts,0.010578164423222899,1.727377786217188,0.06671236451668983
aluminium,neither,learned gate (error imitation),0.011153879242697338,7.263873211569694,3.78427517657709e-05
aluminium,neither,clustered router (k=3),0.01096161057055626,5.414876820058634,6.39106825746083e-05
aluminium,routing,static (no routing),0.010398542313214043,0.0,
aluminium,routing,oracle regime + oracle wts,0.010037060586525055,-3.4762730755986126,0.0012416094381557663
aluminium,routing,predicted regime (hard) + oracle wts,0.010300316460325356,-0.9446117535518939,0.36977165572703985
aluminium,routing,predicted regime (soft) + oracle wts,0.010273027376835326,-1.2070435701282745,0.2218835070313223
aluminium,routing,learned gate (error imitation),0.011006166928871923,5.8433633999424694,0.0006465271201718803
aluminium,routing,clustered router (k=3),0.010663108960405458,2.544266679140339,0.065183410399696
aluminium,representation,static (no routing),0.010080428285150461,0.0,
aluminium,representation,oracle regime + oracle wts,0.009725145303974963,-3.5244829993867244,0.00026857442679961707
aluminium,representation,predicted regime (hard) + oracle wts,0.010051286501985618,-0.28909270856847247,0.7592694004691904
aluminium,representation,predicted regime (soft) + oracle wts,0.010092393182140884,0.11869433174827027,0.8845178200585835
aluminium,representation,learned gate (error imitation),0.010774417466457686,6.884520792926474,2.3205486288091492e-07
aluminium,representation,clustered router (k=3),0.010472640510949115,3.8908289876574464,0.0002300058853976772
aluminium,both,static (no routing),0.010080428285150461,0.0,
aluminium,both,oracle regime + oracle wts,0.009725145303974963,-3.5244829993867244,0.00026857442679961707
aluminium,both,predicted regime (hard) + oracle wts,0.009967924141964941,-1.1160651115513676,0.2454082421472119
aluminium,both,predicted regime (soft) + oracle wts,0.009939207178137302,-1.4009435216278732,0.11828550951051353
aluminium,both,learned gate (error imitation),0.010634104098797321,5.492582239412225,0.0004132753016394819
aluminium,both,clustered router (k=3),0.010346415397196511,2.638648919688036,0.01683819029191147
