,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
oracle_router,0.009844783682583636,0.012619319409593474,0.884572364360282,0.705947096264266,0.6311475409836066,1.0,8.859579736508749e-14,6.486818661088911e-05
static_nnls,0.010182667825865936,0.01302438902152373,0.9149318913077176,0.7301760013895109,0.6073770491803279,1.0,2.6970869981823853e-11,
expert_arima,0.010280112919256951,0.01325214074756143,0.9236875165642369,0.7371635678960544,0.6,1.0,1.3073990778877942e-09,0.0738074547674068
gated_trailing,0.010280337103960799,0.01308407736582836,0.9237076599823079,0.7371796436724056,0.6008196721311475,1.0,1.112031865035945e-06,0.2728824855214771
expert_ridge_ar,0.010317259240896662,0.013285129005556652,0.9270251835582062,0.7398272463214975,0.5901639344262295,1.0,7.498017762230802e-09,0.013858610431450646
simple_avg,0.010426990382685143,0.01327370608615235,0.9368847334137818,0.7476958174768376,0.5852459016393443,1.0,3.4894465687607124e-05,0.001792167574685699
expert_boosting,0.010449009334293609,0.013274451051928537,0.9388631777060106,0.7492747465271812,0.5827868852459016,1.0,0.0003039872416630285,0.015239287006940883
gated,0.010795423020463801,0.013884326169105236,0.9699891001541013,0.7741152858160921,0.5770491803278689,1.0,0.06740155696633598,3.3824302025919906e-08
rw,0.011129427143819185,0.014344438622374599,1.0,0.7980659635176407,,0.0,,2.6970869981823853e-11
expert_sequence,0.014754458421795173,0.018807842016643938,1.3257158909557334,1.0580087298662348,0.5368852459016393,1.0,0.0,0.0
