,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
oracle_router,0.009689401818288047,0.012320336037396908,0.8706110110679984,0.6948050153970495,0.639344262295082,1.0,2.220446049250313e-16,0.0007247682772264508
static_nnls,0.009971119724384556,0.012677442363744306,0.8959238957705111,0.7150063671165712,0.6032786885245902,1.0,2.6201263381153694e-14,
gated_trailing,0.010085992372767664,0.012955096484540449,0.9062454196817309,0.7232436240417491,0.610655737704918,1.0,6.744409475345492e-10,0.16765927624128785
simple_avg,0.010141379886621301,0.012847210461449253,0.9112220921679152,0.7272153369645475,0.5967213114754099,1.0,1.7712902034006106e-08,0.011381475600988455
expert_boosting,0.01021056134537448,0.01285578089568167,0.9174381765951894,0.7321761823723073,0.5959016393442623,1.0,1.6528699402496017e-06,0.013742440786077115
expert_arima,0.010280112919256951,0.01325214074756143,0.9236875165642369,0.7371635678960544,0.6,1.0,1.3073990778877942e-09,0.00010238764231407238
expert_ridge_ar,0.010317259240896662,0.013285129005556652,0.9270251835582062,0.7398272463214975,0.5901639344262295,1.0,7.498017762230802e-09,1.3226116248876707e-05
gated,0.010724256305687916,0.013763021286161603,0.9635946367323781,0.7690120822042562,0.5942622950819673,1.0,0.03448737702881255,4.4028758416914116e-10
rw,0.011129427143819185,0.014344438622374599,1.0,0.7980659635176407,,0.0,,2.6201263381153694e-14
expert_sequence,0.01438260868736202,0.018196506435970823,1.292304491642188,1.0313442292805974,0.5729508196721311,1.0,0.0,0.0
