,MAE,RMSE,RelMAE_vs_RW,MASE,DirAcc,DecRate,p_vs_RW,p_vs_static
oracle_router,0.010629102254211119,0.013508918067788407,0.836516359295305,0.8076623452795862,0.6942622950819672,1.0,0.0,0.00022919287070433114
static_nnls,0.010854092140388917,0.013790540125028753,0.8542231905932306,0.8247584136763837,0.659016393442623,1.0,0.0,
gated_trailing,0.01091971027996883,0.014018221502620139,0.8593873752922134,0.8297444698115573,0.6573770491803279,1.0,0.0,0.5274600781671475
expert_boosting,0.010999213646302446,0.01399629503213113,0.8656443351902865,0.8357856079787238,0.6557377049180327,1.0,2.886579864025407e-15,0.0665776385458765
expert_arima,0.0111193885062511,0.014175545042505414,0.8751021646399225,0.8449172078926601,0.6385245901639345,1.0,0.0,0.0028533387830949053
simple_avg,0.011135764011405586,0.014110083326561915,0.8763909261576721,0.846161516074282,0.65,1.0,9.325873406851315e-15,0.00082923894464626
expert_ridge_ar,0.011163487615455417,0.014225874552791362,0.8785727894770433,0.8482681202381114,0.6286885245901639,1.0,8.881784197001252e-16,0.000645413480745427
gated,0.011517011446535887,0.014510602882867714,0.9063953149384386,0.8751309614916664,0.6418032786885246,1.0,2.4850695279354795e-08,6.471160718390934e-09
rw,0.012706388985823597,0.016184860704250452,1.0,0.9655069339707524,,0.0,,0.0
expert_sequence,0.01540856873475846,0.01964175372497563,1.2126630746114935,1.1708346071076887,0.5721311475409836,1.0,1.7541523789077473e-13,0.0
