metal,condition,model,MAE_x1e3,vs_static_pct,RelMAE_vs_RW,DirAcc,p_vs_static
zinc,neither,static,10.9849,0.0000,0.8645,0.6402,NaN
zinc,neither,MY_ALGORITHM,11.0401,0.5022,0.8689,0.6402,0.0717
zinc,neither,gated_trailing,11.1066,1.1079,0.8741,0.6492,0.1703
zinc,neither,clustered_k3,12.4733,13.5492,0.9817,0.5992,0.0000
zinc,neither,ECONOMICS_available_gain_pct,2.17,,,,
zinc,neither,ECONOMICS_breakeven_accuracy_pct,76.6,,,,
zinc,representation,static,10.8541,0.0000,0.8542,0.6590,NaN
zinc,representation,MY_ALGORITHM,10.8777,0.2173,0.8561,0.6623,0.5271
zinc,representation,gated_trailing,10.8897,0.3277,0.8570,0.6574,0.7068
zinc,representation,clustered_k3,11.9602,10.1910,0.9413,0.6238,0.0000
zinc,representation,ECONOMICS_available_gain_pct,1.93,,,,
zinc,representation,ECONOMICS_breakeven_accuracy_pct,78.9,,,,
zinc,routing,static,10.9849,0.0000,0.8645,0.6402,NaN
zinc,routing,MY_ALGORITHM,11.0127,0.2528,0.8667,0.6369,0.2296
zinc,routing,gated_trailing,11.1116,1.1531,0.8745,0.6516,0.1568
zinc,routing,clustered_k3,12.5262,14.0309,0.9858,0.6016,0.0000
zinc,routing,ECONOMICS_available_gain_pct,2.17,,,,
zinc,routing,ECONOMICS_breakeven_accuracy_pct,76.6,,,,
zinc,both,static,10.8541,0.0000,0.8542,0.6590,NaN
zinc,both,MY_ALGORITHM,10.8641,0.0921,0.8550,0.6590,0.6613
zinc,both,gated_trailing,10.9197,0.6045,0.8594,0.6574,0.5275
zinc,both,clustered_k3,11.9458,10.0581,0.9401,0.6320,0.0000
zinc,both,ECONOMICS_available_gain_pct,1.93,,,,
zinc,both,ECONOMICS_breakeven_accuracy_pct,78.9,,,,
aluminium,neither,static,10.1827,0.0000,0.9149,0.6074,NaN
aluminium,neither,MY_ALGORITHM,10.2211,0.3770,0.9184,0.6041,0.1665
aluminium,neither,gated_trailing,10.2803,0.9592,0.9237,0.6008,0.2729
aluminium,neither,clustered_k3,11.0441,8.4595,0.9923,0.5811,0.0000
aluminium,neither,ECONOMICS_available_gain_pct,1.71,,,,
aluminium,neither,ECONOMICS_breakeven_accuracy_pct,80.6,,,,
aluminium,representation,static,9.9711,0.0000,0.8959,0.6033,NaN
aluminium,representation,MY_ALGORITHM,9.9781,0.0698,0.8965,0.6057,0.5520
aluminium,representation,gated_trailing,10.0860,1.1521,0.9062,0.6107,0.1677
aluminium,representation,clustered_k3,10.5029,5.3331,0.9437,0.5861,0.0000
aluminium,representation,ECONOMICS_available_gain_pct,1.45,,,,
aluminium,representation,ECONOMICS_breakeven_accuracy_pct,81.7,,,,
aluminium,routing,MY_ALGORITHM,10.1819,-0.0071,0.9149,0.6057,0.8858
aluminium,routing,static,10.1827,0.0000,0.9149,0.6074,NaN
aluminium,routing,gated_trailing,10.2657,0.8157,0.9224,0.6025,0.3352
aluminium,routing,clustered_k3,10.8402,6.4573,0.9740,0.5926,0.0000
aluminium,routing,ECONOMICS_available_gain_pct,1.71,,,,
aluminium,routing,ECONOMICS_breakeven_accuracy_pct,80.6,,,,
aluminium,both,MY_ALGORITHM,9.9669,-0.0427,0.8955,0.6033,0.6755
aluminium,both,static,9.9711,0.0000,0.8959,0.6033,NaN
aluminium,both,gated_trailing,10.0868,1.1597,0.9063,0.6172,0.1682
aluminium,both,clustered_k3,10.3985,4.2866,0.9343,0.5934,0.0002
aluminium,both,ECONOMICS_available_gain_pct,1.45,,,,
aluminium,both,ECONOMICS_breakeven_accuracy_pct,81.7,,,,
